artist,title,track
Coldplay ,Paradise,
Bon Jovi ,It's My Life,
Evanescence,Bring Me To Life,
The Cardigans ,My Favourite Game,
The Prodigy ,Firestarter,
Cardi B ,Bodak Yellow,
Amy Winehouse ,Back To Black,
Indila ,Derniere Danse,
Rihanna ft. Drake,What's My Name?,
Meghan Trainor ,All About That Bass,
Ke$ha,TiK ToK,
Eminem ,Without Me,
John Newman,Love Me Again,
2Pac,Changes ft. Talent,
The Weeknd  ft. Daft Punk,I Feel It Coming,
P!nk ft. Nate Ruess,Just Give Me A Reason,
WALK THE MOON,Shut Up and Dance,
Anne-Marie ,2002,
Christina Aguilera ,Something's Got a Hold On Me,
P!NK,What About Us,
Shaggy ft. Rayvon,Angel,
The Killers,Somebody Told Me,
The Offspring ,The Kids Aren't Alright,
Blink-182,All The Small Things,
Red Hot Chili Peppers ,Can't Stop,
Mariah Carey ,All I Want for Christmas Is You,
Lil Peep,benz truck,
Taylor Swift ,Anti-Hero,
The Black Eyed Peas ,I Gotta Feeling,
Bruno Mars,Grenade,
Tom Odell ,Another Love,
Shawn Mendes,There's Nothing Holdin' Me Back,
Oasis,Wonderwall,
Mike Posner ,I Took A Pill In Ibiza,
The Killers,Mr. Brightside,
Alan Walker,Faded,
Pixies ,Where Is My Mind,
Maroon 5,Memories,
Imagine Dragons,Demons,
DJ Snake ft. Justin Bieber,Let Me Love You,
X Ambassadors,Renegades,
Drake,God's Plan,
The Weeknd,Starboy ft. Daft Punk,
Glass Animals ,Heat Waves,
Roxette ,It Must Have Been Love,
Guns N' Roses ,November Rain,
Vanilla Ice ,Ice Ice Baby,
Scorpions ,Wind Of Change,
Oliver Tree & Robin Schulz ,Miss You,
TLC ,No Scrubs,
Maroon 5,Animals,Maroon5-Animals.mp3
Miley Cyrus,Wrecking Ball,MileyCyrus-WreckingBall.mp3
Fifth Harmony,Work From Home,FifthHarmony-WorkFrom Home.mp3
Rihanna ft. Eminem,Love The Way You Lie,Rihanna_ft.Eminem-Love_The_Way_You _Lie .mp3
The Cure,Friday I m In Love,The Cure - Friday I m In Love.mp3
Jay-Z ft. Linkin Park,Numb/Encore,Jay-Z ft. Linkin Park - Numb - Encore.mp3
Eagles,Hotel California,Eagles Hotel California.mp3
Neil Young,Heart Of Gold,Neil Young - Heart Of Gold.mp3
GAYLE,ABCDEFU,GAYLE - ABCDEFU.mp3
Taylor Swift,Anti-Hero,Taylor Swift-Anti-Hero.mp3
Jay Pharaoh ft. Michelle Obama,Go To College,Go To College MICHELLE OBAMA.mp3
Blink-182,Whats My Age Again,Blink-182 - Whats My Age Again.mp3
Evanescence,My Immortal,Evanescence - My Immortal.mp3
Red Hot Chili Peppers,Otherside,Red Hot Chili Peppers - Otherside.mp3
Deep Purple,Smoke On the Water,Deep Purple - Smoke On the Water.mp3
Natalie Imbruglia,Wrong Impression,Natalie Imbruglia - Wrong Impression.mp3
U2,I Still Haven't Found What I'm Looking For,U2 - I Still Haven't Found What I'm Looking For.mp3
LANA DEL REY,BORN TO DIE,LANA DEL REY- BORN TO DIE.mp3
Die Antwoord,Enter The Ninja,Die Antwoord - Enter The Ninja.mp3
Bloodhound Gang,The Bad Touch,Bloodhound Gang - The Bad Touch.mp3
Rednex,Cotton Eye Joe,Cotton Eye Joe - Rednex.mp3
Marshmello x Lil Peep,Spotlight,Marshmello x Lil Peep - Spotlight.mp3
Imagine Dragons,Bad Liar,Imagine Dragons - Bad Liar .mp3
MGMT,Kids,MGMT - Kids.mp3
Armin van Buuren feat. Sharon den Adel,In And Out Of Love,Armin van Buuren feat. Sharon den Adel - In And Out Of Love.mp3
Nelly Furtado,All Good Things,Nelly Furtado - All Good Things.mp3
Shakira,"Whenever, Wherever","Shakira - Whenever, Wherever.mp3"
Gorillaz,Feel Good In.,Gorillaz - Feel Good Inc.mp3
Eminem,Not Afraid,Eminem - Not Afraid.mp3
B.o.B feat. Hayley Williams of Paramore,Airplanes,B.o.B - Airplanes (feat. Hayley Williams of Paramore).mp3
The Script,Hall of Fame,The Script - Hall of Fame (Official Video) ft. will.i.am.mp3
L.E.J,SUMMER 2015,L.E.J - SUMMER 2015.mp3
southstar,Miss You,southstar - Miss You.mp3
Lana Del Rey,Ride,Lana Del Rey - Ride.mp3
Modjo,Lady (Hear me tonight),Modjo - Lady (Hear me tonight).mp3
Bingo Players,Cry (Just A Little),Bingo Players - Cry (Just A Little).mp3
Christina Aguilera & A Great Big World,Say Something,Christina Aguilera & A Great Big World Say Something.mp3
Dido,White Flag,Dido - White Flag.mp3
Mario Winans,I Don't Wanna Know,Mario Winans - I Don't Wanna Know.mp3
Snoop Dogg ft. Pharrell Williams,Drop It Like It's Hot,Snoop Dogg - Drop It Like It's Hot ft. Pharrell Williams.mp3
James Blunt,You're Beautiful,James Blunt - You're Beautiful.mp3
Ray Charles,Hit The Road Jack,Ray Charles - Hit The Road Jack.mp3
James Brown,t's A Man's Man's Man's World,James Brown - It's A Man's Man's Man's World.mp3
Louis Armstrong,What A Wonderful World,Louis Armstrong - What A Wonderful World.mp3
Akon ft. Eminem,Smack That.mp3,Akon - Smack That ft. Eminem.mp3
Beyoncé,Irreplaceable,Beyoncé - Irreplaceable.mp3
Red Hot Chili Peppers,Under The Bridge,Red Hot Chili Peppers - Under The Bridge.mp3
Aerosmith,I Don't Want to Miss a Thing,Aerosmith - I Don't Want to Miss a Thing.mp3
Green Day,Wake Me Up When September Ends,Green Day - Wake Me Up When September Ends.mp3
Guns N' Roses,Don't Cry,Guns N' Roses - Don't Cry.mp3
3 Doors Down,Here Without You,3 Doors Down- Here Without You.mp3
Three Days Grace,I Hate Everything About You,Three Days Grace - I Hate Everything About You.mp3
Lost Frequencies,Are You With Me,Lost Frequencies - Are You With Me.mp3
Lost Frequencies feat. Janieck Devy,Reality,Lost Frequencies feat. Janieck Devy - Reality.mp3
Jax,Victoria’s Secret,Jax - Victoria’s Secret.mp3
Nirvana,Something In The Way,Nirvana - Something In The Way.mp3
Coldplay,Viva La Vida,Coldplay - Viva La Vida.mp3
Machine Gun Kelly,Bloody Valentine,Machine Gun Kelly - Bloody Valentine.mp3
The Cardigans,My Favourite Game,The Cardigans - My Favourite Game.mp3
Spirit Lead Me,Hillsong United,Spirit Lead Me - Hillsong United.mp3
Jason Mraz,I'm Yours,Jason Mraz - I'm Yours.mp3
Bon Jovi,Always,Bon Jovi - Always.mp3
Brett Young,In Case You Didn't Know,Brett Young - In Case You Didn't Know.mp3
The Calling,Wherever You Will Go,The Calling - Wherever You Will Go.mp3
Robbie Williams,Angels,Robbie Williams - Angels.mp3
Spice Girls,Wannabe,Spice Girls - Wannabe.mp3
Gloria Gaynor,I Will Survive,Gloria Gaynor - I Will Survive.mp3
Reel 2 Real feat. The Mad Stuntman,I Like To Move It,Reel 2 Real feat. The Mad Stuntman - I Like To Move It.mp3
Kiss,I Was Made For Lovin' You,Kiss - I Was Made For Lovin' You.mp3
Billy Joel,Uptown Girl,Billy Joel - Uptown Girl.mp3
A-HA,Take On Me,A-HA - Take On Me.mp3
AC-DC,You Shook Me All Night Long,AC-DC -You Shook Me All Night Long.mp3
Village People,Y.M.C.A.,Village People - Y.M.C.A.mp3
Tag Team,Whoomp,Tag Team - Whoomp.mp3
Chumbawamba,Tubthumping,Chumbawamba - Tubthumping.mp3
Kris Kross,Jump,Kris Kross - Jump.mp3
The Black Eyed Peas,I Gotta Feeling,The Black Eyed Peas - I Gotta Feeling.mp3
The Black Eyed Peas,Pump It,The Black Eyed Peas - Pump It.mp3
The Police,Every Breath You Take,The Police - Every Breath You Take.mp3
Sting,Shape of My Heart,Sting - Shape of My Heart.mp3
Sting,Desert Rose,Sting - Desert Rose.mp3
Ben E. King,Stand By Me,Ben E. King - Stand By Me.mp3
The National,I Need My Girl,The National - I Need My Girl.mp3
Electric Youth & College,A Real Hero,Electric Youth & College - A Real Hero.mp3
Nickelback,How You Remind Me,Nickelback - How You Remind Me.mp3
Lynyrd Skynyrd,Sweet Home Alabama,Lynyrd Skynyrd - Sweet Home Alabama.mp3
Avril Lavigne,Sk8er Boi,Avril Lavigne - Sk8er Boi.mp3
Lana Del Rey,Serial Killer,Lana Del Rey - Serial Killer.mp3
Nickelback,Far Away,Nickelback - Far Away.mp3
Amy Winehouse,Back To Black,Amy Winehouse - Back To Black.mp3
Papa Roach,Last Resort,Papa Roach - Last Resort.mp3
Marilyn Monroe,I Wanna Be Loved By You,Marilyn Monroe - I Wanna Be Loved By You.mp3
Kylie Minogue,Can't Get You Out Of My Head,Kylie Minogue - Can't Get You Out Of My Head.mp3
Taylor Swift,I Knew You Were Trouble,Taylor Swift - I Knew You Were Trouble.mp3
Papa Roach,Scars,Papa Roach - Scars.mp3
Kelly Clarkson,Stronger.mp3,Kelly Clarkson - Stronger.mp3
Britney Spears,I Love Rock 'N' Roll,Britney Spears - I Love Rock 'N' Roll.mp3
The Cardigans,Please Sister,Please Sister.mp3
No Doubt,Don't Speak,No Doubt - Don't Speak.mp3
The Verve,Bitter Sweet Symphony,The Verve - Bitter Sweet Symphony.mp3
Adele,Set Fire To The Rain,Adele - Set Fire To The Rain.mp3
The Cranberries,Ode To My Family,The Cranberries - Ode To My Family.mp3
Mariah Carey,Without You,Mariah Carey - Without You.mp3
Scorpions,Still Loving You,Scorpions - Still Loving You.mp3
Maroon 5 ft. Wiz Khalifa,Payphone,Maroon 5 - Payphone ft. Wiz Khalifa.mp3
Queen,Don't Stop Me Now,Queen - Don't Stop Me Now.mp3
Boston,More Than a Feeling,Boston - More Than a Feeling.mp3
The Mamas & The Papas,California Dreamin',The Mamas & The Papas - California Dreamin'.mp3
Aerosmith,Dream On,Aerosmith - Dream On.mp3
The Rolling Stones,Anybody Seen My Baby.mp3,The Rolling Stones - Anybody Seen My Baby.mp3
Bob Dylan,Knockin' On Heaven's Door,Bob Dylan - Knockin' On Heaven's Door.mp3
Geri Halliwell,It's Raining Men,Geri Halliwell - It's Raining Men.mp3
Jeff Buckley,Hallelujah,Jeff Buckley - Hallelujah.mp3
The Animals,House Of The Rising Sun,The Animals - House Of The Rising Sun.mp3
Elvis Presley,Can't Help Falling In Love,Elvis Presley - Can't Help Falling In Love.mp3
Dynoro & Gigi D’Agostino,In My Mind,Dynoro & Gigi D’Agostino - In My Mind.mp3
2Pac,Dear Mama,2Pac - Dear Mama.mp3
Anastacia,Sick and Tired,Anastacia - Sick and Tired.mp3
K'NAAN,Wavin' Flag,K'NAAN - Wavin' Flag.mp3
DJ Snake ft. Justin Bieber,Let Me Love You,DJ Snake - Let Me Love You ft. Justin Bieber.mp3
Imany,You Will Never Know,Imany - You Will Never Know.mp3
Madonna,Hung Up,Madonna - Hung Up.mp3
Eminem ft. Rihanna,The Monster,Eminem ft. Rihanna - The Monster.mp3
Alizée,Moi... Lolita,Alizée - Moi... Lolita.mp3
Natalia Oreiro,Cambio Dolor,Natalia Oreiro - Cambio Dolor.mp3
Jung Kook,Seven,Jung Kook- Seven.mp3
Imany & Filatov & Karas,Don't Be So Shy,Imany - Don't Be So Shy (Filatov & Karas Remix).mp3
Bad Bunny,Tití Me Preguntó,Bad Bunny - Tití Me Preguntó.mp3
"KAROL G, Shakira",TQG,"KAROL G, Shakira - TQG.mp3"
"Kendrick Lamar, SZA",All The Stars,"Kendrick Lamar, SZA - All The Stars.mp3"
Imagine Dragons,Believer.mp3,Imagine Dragons - Believer.mp3
The Weeknd ft. Daft Punk,Starboy,The Weeknd - Starboy ft. Daft Punk.mp3
The Weeknd ft. Daft Punk,I Feel It Coming,The Weeknd - I Feel It Coming ft. Daft Punk.mp3
Linkin Park,One More Light,One More Light - Linkin Park.mp3
P!NK,TRUSTFALL,P!NK - TRUSTFALL.mp3
